Name,Developer ID,Scraped Playstore App Name,Scraped Playstore App Link,Scraped Google Developer ID
Excel Programming,Pratik,Programming Hub: Learn to code,https://play.google.com/store/apps/details?id=com.freeit.java,Coding and Programming
Mr. Quizman,Abhishek Garain,TRIVIA STAR Quiz Games Offline,https://play.google.com/store/apps/details?id=com.trivia.star.android,Super Lucky Games LLC
Dr.Bumbo,Mark Tyson,Dr. Panda Toy Cars,https://play.google.com/store/apps/details?id=com.tribeplay.toycars.fun,Dr. Panda
Harry potter the wizard,nan,Harry Potter Magic Caster Wand,https://play.google.com/store/apps/details?id=com.wb.goog.magiccasterwand,Warner Bros. International Enterprises
uddeshya's trivia,UDDESHYA LAL,Triviascapes: trivia & IQ test,https://play.google.com/store/apps/details?id=com.mnogogames.triviascapes,Quiz & Trivia Games by Mno Go Apps
Howdy Trivia Game,Oishik Mukhopadhyay,-,-,-
Rajasthan GK Master,nan,Rajasthan GK in Hindi,https://play.google.com/store/apps/details?id=com.gktalk.rajasthan_gk_in_hindi,gktalk_imran
Maths Quizz,SmartnSoft,Math Quiz: Brain Training Game,https://play.google.com/store/apps/details?id=com.wanetagames.math.puzzles.quiz.trivia.riddles.brain.training.question.game,Waneta Games
Tech Game English,Yash Yadav,English Grammar Star: ESL Game,https://play.google.com/store/apps/details?id=com.wobblemonkey.speedygram,Wobble Monkey English Games
catch it,SaiMadhav Bangaru,Catch It,https://play.google.com/store/apps/details?id=uk.ac.liv.catchit,The University of Liverpool
Happy Counting Time,Ednovation Pte Ltd,123 Number & Counting Games,https://play.google.com/store/apps/details?id=vn.edugames.number.counting,BonBonGame.com
Make Pizza,WROFF,Pizza maker 2,https://play.google.com/store/apps/details?id=com.pazugames.pizzamaker2,Pazu Games
Guess The Shape,Aakash Manjrekar,Kids Games : Shapes & Colors,https://play.google.com/store/apps/details?id=com.bonbongame.learn.colors.and.shapes.kids.games,BonBonGame.com
Chemical Symbol Quiz,Horizon Apps,Chemical Symbols Quiz,https://play.google.com/store/apps/details?id=marijndillen.chemicalsymbolsquiz,Marijn Dillen
Mobile show,Gaurav Kumar,T-Mobile,https://play.google.com/store/apps/details?id=com.tmobile.pr.mytmobile,T-Mobile USA
Computer GK Master,nan,Computer GK in English,https://play.google.com/store/apps/details?id=com.aicsm.computerknowledge,GK In Hindi Offline
Hale's Government,nan,-,-,-
Vedaditya quiz,nan,TRIVIA STAR Quiz Games Offline,https://play.google.com/store/apps/details?id=com.trivia.star.android,Super Lucky Games LLC
You've Been Gnomed,Ricky Rekkers,Talking Ben the Dog,https://play.google.com/store/apps/details?id=com.outfit7.talkingben,Outfit7 Limited
Sir Caliberx,Mihir Adarsh,Caliber Strength Training,https://play.google.com/store/apps/details?id=com.caliberfitness.app,Caliber Fitness
My Doctor Discussion,xReach.io,My Doctor: Idle Hospital Game,https://play.google.com/store/apps/details?id=com.my.perfect.hospital.idle.game,Falcon Gamerz
Doctor Ming Gray a question,PlacerTech,Full Code Medical Simulation,https://play.google.com/store/apps/details?id=com.minerva_medical.minerva,Full Code Medical Inc.
Doctor Epstein a question,PlacerTech,Quanswer - questions & answers,https://play.google.com/store/apps/details?id=com.quanswer.quanswerandroid,Quanswer
SBI Life,SBI Life,SBI Life Smart Care,https://play.google.com/store/apps/details?id=com.sbilife.smartcare,Sbilife ISG-AAR
Oh Sheesh Y'all,nan,Crossy Road,https://play.google.com/store/apps/details?id=com.yodo1.crossyroad,HIPSTER WHALE
Spice The Dice,Raunak Ghetla,Slice & Dice,https://play.google.com/store/apps/details?id=com.com.tann.dice,Tann
Mr. Birthmaster,my company,Mr Hungry Tomato,https://play.google.com/store/apps/details?id=com.mrhungry.tomat,RBX Game
Kardashian Kuiz,nan,"Hollywood Actors: Quiz, Game",https://play.google.com/store/apps/details?id=net.shapkin.actorsquiz,"Beeks — Quizzes, Games, Tests"
Challenge Yourself,nan,21 Days Challenge,https://play.google.com/store/apps/details?id=com.limatech.dayschallenge.dayschallenge,Kati & Lima
Quizzer Match,Rayan Dasoriya,Quizzer (create tests),https://play.google.com/store/apps/details?id=com.sergioyanes.quizzer,Sergio Yanes
Ruby Quiz,nan,Quiz Relax,https://play.google.com/store/apps/details?id=com.relaxtime.android.quiz,ComicStand
Challenge Aman,Aman Agarwal,456 Run Challenge: Clash 3D,https://play.google.com/store/apps/details?id=com.run.squid.challenges.survival.clash,Amobear Studio
Prayaas Youth Foundation,Nishant Dhande,Youth Foundation,https://play.google.com/store/apps/details?id=com.app.testseries.youthfoundation,TestSeries Software
Quiz On DC,nan,Quiz DC,https://play.google.com/store/apps/details?id=com.dc.quiz,DescobreixCatalunya
The Flash champ,Rishabh Jain,Flash Hit: Rocket Dash 3D,https://play.google.com/store/apps/details?id=com.doubletimes.speedster.hit,E-lite Game Studio
Matt Lieber Bot,Honeyfi,Bee-Bot,https://play.google.com/store/apps/details?id=com.tts.beebot,TTS Group
New Task,nan,Google Tasks,https://play.google.com/store/apps/details?id=com.google.android.apps.tasks,Google LLC
SANTALA Control,SANTALA,Light Control!,https://play.google.com/store/apps/details?id=com.maveragames.LightControl,MondayOFF
Weisheit Lighting,nan,Hi Lighting,https://play.google.com/store/apps/details?id=com.lixing.hilighting,"Shenzhen Jianjiaweidu Technology Co., Ltd"
STL Smart Home,nan,Smart Light Smart Home Control,https://play.google.com/store/apps/details?id=ai.metaverse.remote.control.smarthome,Metaverse Labs
SYLVANIA Smart Home,LEDVANCE,SYLVANIA Smart Home,https://play.google.com/store/apps/details?id=com.ledvance.smartplus,LEDVANCE LLC
Life in Sync,nan,VeSync,https://play.google.com/store/apps/details?id=com.etekcity.vesyncplatform,Vesync
Scrypted Home Automation,ClockworkMod,Scrypted,https://play.google.com/store/apps/details?id=app.scrypted.nvr,ClockworkMod
SiMPNiC,Connection Technology Systems,SiMPNiC,https://play.google.com/store/apps/details?id=com.ctsystem.smarthome.coco,Connection Technology Systems Inc.
MajorDoMo Devices,Sergei Jeihala,MajorDroid Official,https://play.google.com/store/apps/details?id=ru.smartliving.majordroid,SergeJey
Makihome,Makipos,Makihome,https://play.google.com/store/apps/details?id=com.mkpsmarthome.pro,Makipos
EMTHINGS,EMTHINGS Technologies Private Limited,EasyThings,https://play.google.com/store/apps/details?id=com.sunricher.easyhome.ble,Kellie Scott
Javis Home,JAVISCO,Javis Home,https://play.google.com/store/apps/details?id=vn.javisco.javis,JAVISCO
Aeotron Smart Living,Aeotron,Smart Life - Smart Living,https://play.google.com/store/apps/details?id=com.tuya.smartlife,Volcano Technology Limited
Miss. Capitals,Renny Mittal,"50 States: US Maps, Capitals",https://play.google.com/store/apps/details?id=com.fox.smart.us.geography.quiz,Smart Fox: learning quiz games
Find Cheap Flights,nan,CheapOair: Cheap Flight Deals,https://play.google.com/store/apps/details?id=com.fp.cheapoair,Fareportal Inc.
Cricquiz mania,Harshittarsariya,Cricket Quiz,https://play.google.com/store/apps/details?id=com.ganesh.cricket_quiz,Ganesh Panwar
FRIENDS TV Show,Atharva Karwande,Friends Trivia Quiz,https://play.google.com/store/apps/details?id=com.vgcentral.friendsquiz,VGcentral
Fifth Grader Trivia,Mohammad Asif,5th Grader Quiz: Are You Smart,https://play.google.com/store/apps/details?id=dh3games.areyousmarterthana5thgrader,KDR Games
Phobia Madness,ANJ,Phobia and fear list,https://play.google.com/store/apps/details?id=com.vipassana.phobialist,vipassana
History of the India,Robin Singh,History Of India(Hindi),https://play.google.com/store/apps/details?id=com.pooja.historyofindia,POOJA GADANI
Inquisitive Quiz,Shruti Singh,General Knowledge Quiz,https://play.google.com/store/apps/details?id=com.timleg.quiz,TIMLEG
Death Note Quizzer,Vaibhav Jain,Death Note,https://play.google.com/store/apps/details?id=com.HandsUp.DeathNote,Hands Up
Ramayan Trivia,Amit Sinha,Ramayan Quiz,https://play.google.com/store/apps/details?id=com.shuvankarsarkar.ramayanquiz,Shuvankar Sarkar
Automobiles Quiz,nan,Car Quiz,https://play.google.com/store/apps/details?id=com.cmrg.cmrg.carquiz,Eighteen1 Studios
Random Engineer Quiz,Athul Muralidharan,Civil Engineering Quiz,https://play.google.com/store/apps/details?id=com.sanaedutech.civil,Sana Edutech
Farting Facts,nan,Fart Prank Sound Effect Button,https://play.google.com/store/apps/details?id=fart.sound.button.farting,Radikal Meme Apps
Word Freak,Ayush Nath Jha(ANJ),Wordle!,https://play.google.com/store/apps/details?id=com.vottzapps.wordle,Lion Studios Plus
G K Buddy English,Vimal Tech Solutions,Buddy TALK : Speak English,https://play.google.com/store/apps/details?id=com.buddy_talk_english_speak,English learn co
hirwani quiz,shashank hirwani,Cricket Quiz,https://play.google.com/store/apps/details?id=com.ganesh.cricket_quiz,Ganesh Panwar
Running Fact,nan,Running Distance Tracker +,https://play.google.com/store/apps/details?id=com.fitness22.running,Fitness22
Otaku Anime Trivia,nan,Otaku Quiz - Anime Challenge,https://play.google.com/store/apps/details?id=id.rinnankanvas.otakuquiz,Rinnan Kanvas
Word Substitution questions,Hemant Lader,One Word Substitution,https://play.google.com/store/apps/details?id=com.iw.onewordsub,IdyllicWays
Mercury Facts,nan,Planet Mercury,https://play.google.com/store/apps/details?id=io.kodular.timbulks.Mercury,Timbul Saputra
cabinet ministers,grapheneX,Indian Ministers,https://play.google.com/store/apps/details?id=com.gurubalajidev.indianministers_hindi,Guru Balaji Developer
Droid Queries,Samaksh Singh,QR Droid,https://play.google.com/store/apps/details?id=la.droid.qr,DroidLa
One GK,Garima,GK One,https://play.google.com/store/apps/details?id=com.gracekennedy.gkone,GKFG
Scranton Branch,nan,Screw Jam,https://play.google.com/store/apps/details?id=com.quok.screwJam,Rollic Games
Jahoo Trivia,Tassos Manolis,Trivia Crack,https://play.google.com/store/apps/details?id=com.etermax.preguntados.lite,etermax
mr unique,Hemant sharma,Mr unique,https://play.google.com/store/apps/details?id=com.appswiz.mruniquehfihb,Appswiz W.VI
Elephants Facts,nan,The Elephant,https://play.google.com/store/apps/details?id=com.wildlife.elephant,Wild Life
Dinosaurs Facts,nan,Dinosaur 4D+,https://play.google.com/store/apps/details?id=com.OctagonStudio.ARDinoVR,Octagon Studio
General IQ Quiz,nan,General Knowledge Quiz,https://play.google.com/store/apps/details?id=com.timleg.quiz,TIMLEG
Unit Measure mental Quiz,nan,Mental Health Tests,https://play.google.com/store/apps/details?id=org.minddiagnostics,Mind Diagnostics
Drag Race Trivia,Karatekillo,RuPaul's Drag Race Superstar,https://play.google.com/store/apps/details?id=com.eastsidegames.dragrace,East Side Games Studio
Dear Quiz,nan,BFF Test - Friends Quiz,https://play.google.com/store/apps/details?id=com.PixelRelic.truebffs,Pixel Relic
Kdramacuts quiz,nan,Kpop & Kdrama Quiz,https://play.google.com/store/apps/details?id=com.quizgame.kpopandkdrama,Happy Books Dev
Backend Developer Faisal Alam,Faisal Alam,-,-,-
Sambi Interview,nan,Big Interview,https://play.google.com/store/apps/details?id=com.biginterview,"Skillful Communications, LLC"
Dr Bio,Parshwa sanghvi,Dr Bio,https://play.google.com/store/apps/details?id=com.crazyidea.dr.bio,Crazy Idea Apps
Exciting Science Quiz,Naman Goyal,General Science MCQ Quiz Game,https://play.google.com/store/apps/details?id=general.science.mcqs.quiz.game,Aardvark Solutions
Dr sports,nan,Sportsnet,https://play.google.com/store/apps/details?id=com.rogers.sportsnet.sportsnet,Rogers Digital Media
Aero Diya,vishant(Aero),Aero XP,https://play.google.com/store/apps/details?id=com.aspool.app.aero,ASPOOL
Mix Knowledge,Kusum Devi,Knowledge,https://play.google.com/store/apps/details?id=ca.knowledge.kapp,Knowledge Network
Timely Affairs,Dhruvi Vaghasiya,Foreign Affairs Magazine,https://play.google.com/store/apps/details?id=com.foreignaffairs.magazine,ForeignAffairs
comic book hero quiz,Ruby rana,DC Super Hero Quiz,https://play.google.com/store/apps/details?id=com.twobro.dcsuperheroquiz,Twobro apps
Newton Physics,Ayushman Parida,Newton Physics Sit,https://play.google.com/store/apps/details?id=com.newtonphysicssit.schoolmanagementsystem,online vidya
Space fun,nan,What's in Space?,https://play.google.com/store/apps/details?id=com.learnyland.space,Learny Land
Googling Maniac,nan,Beta Maniac,https://play.google.com/store/apps/details?id=it.mirko.beta,Mirko Dimartino
